ID,species,Lat_y,Long_x
11364,beckneri,9.29472,-83.76417
15279,beckneri,,
15621,beckneri,,
16409,beckneri,,
16424,beckneri,9.4736111,-83.6936111
16433,beckneri,9.4572222,-83.7072222
21869,beckneri,9.464944,-83.707592
22078,beckneri,9.505,-83.662222
22676,beckneri,9.469703,-83.697094
22700,beckneri,9.457111,-83.710778
10480,bella,8.49,-81.1
10488,bella,8.58,-81.08
19337,bella,8.668056,-80.5925
21091,bella,,
21092,bella,8.490814,-81.085619
16806,berriziana,6.90464,-73.34936
16817,berriziana,6.871135,-73.321539
6006,berryi,-14.62,-60.87
16563,berryi,0.299722,-77.999722
22369,berryi,-15.694851,-67.567202
5881,bihai,-15.71,-62.79
5962,bihai,-14.762,-63.9
6416,bihai,-9.62,-55.22
6417,bihai,-9.47,-55.7
6421,bihai,-9.51,-55.07
8490,bihai,2.2,-59.58
8504,bihai,2.5167,-54.4167
8528,bihai,2.4,-53.1
8536,bihai,2.2422,-52.8683
8648,bihai,3.6167,-53.2167
8663,bihai,3.25,-59.25
8681,bihai,3.3167,-54.0667
8684,bihai,3.4167,-54.0167
8690,bihai,3.5167,-53.7167
8707,bihai,3.55,-53.9167
8722,bihai,3.255,-53.0742
8731,bihai,3.7333,-53.0333
8956,bihai,4.8517,-53.0682
8957,bihai,4.5833,-53.35
8972,bihai,4.3167,-53.0333
8990,bihai,4.05,-52.7
8991,bihai,4.5833,-52.3333
9004,bihai,4.1167,-52.0833
9034,bihai,4.6575,-52.3012
9057,bihai,4.8683,-52.257
9061,bihai,4.05,-52.0167
9069,bihai,4.0333,-52.0167
9072,bihai,4.5833,-52.4167
9078,bihai,4.5833,-52.45
9086,bihai,4.55,-52.152
9090,bihai,4.3333,-52.5833
9277,bihai,5.9,-62.25
9278,bihai,5.92,-62.25
9303,bihai,5.4333334,-58.766666
9320,bihai,5.45,-53.1333
9364,bihai,5.6667,-53.7833
9487,bihai,6.23,-74.87
9825,bihai,7.6167,-59.9
10950,bihai,8.53,-62.05
12265,bihai,9.83,-72.82
12280,bihai,9.03,-70.02
12290,bihai,9.07,-69.88
13135,bihai,10.35,-67.57
13136,bihai,10.39,-67.26
13154,bihai,10.47,-70.62
13156,bihai,10.83,-69.12
13160,bihai,10.4,-68.07
13161,bihai,10.37,-68.75
13168,bihai,10.18,-68.5
13180,bihai,10.63,-66.58
13183,bihai,10.08,-66.02
13193,bihai,10.15,-65.8
13206,bihai,10.53,-63.12
13216,bihai,10.66,-62.72
13394,bihai,11.333333,-74.03333
13412,bihai,11.24,-69.46
13505,bihai,13.67,-89.25
13825,bihai,14.52,-91.14
14010,bihai,15.9,-89.23
14104,bihai,16.97,-94.66
14203,bihai,16.17,-89.09
14287,bihai,17.8,-96.117
14294,bihai,17.685,-96.301
14340,bihai,17.283333,-94.53333
14348,bihai,17.083,-94.105
14354,bihai,17.067,-94.633
14367,bihai,17.783333,-94.65
14370,bihai,17.283333,-94.55
14378,bihai,17.716667,-93.75
14454,bihai,17.5,-91.99
14528,bihai,18.941668,-96.806114
14560,bihai,18.883333,-96.916664
14597,bihai,18.419445,-95.11361
14617,bihai,18.619444,-95.0725
14655,bihai,18.4,-95.15
14701,bihai,18.4,-94.95
14767,bihai,18.43,-73.9
14770,bihai,18.53,-70.3
14773,bihai,18.47,-70.28
14775,bihai,18.47,-70.22
14777,bihai,18.9,-69.38
14779,bihai,18.97,-68.97
14780,bihai,18.7,-68.82
14803,bihai,19.933332,-97.21667
14815,bihai,19.917,-97.217
14861,bihai,19.476944,-96.56084
14938,bihai,19.766945,-96.745
14994,bihai,19.833,-96.817
15003,bihai,19.5125,-96.94334
15015,bihai,19.8,-72.5
15040,bihai,20,-97.5
15126,bihai,15.5147222,-61.4180556
15304,bihai,,
16185,bihai,,
16195,bihai,,
16235,bihai,,
16242,bihai,,
16248,bihai,,
16461,bihai,10.6094444,-74.1655556
16659,bihai,11.0833333,-73.8
16721,bihai,10.499961,-61.162812
16775,bihai,3.1333333,-59.3833333
18027,bihai,3.5833333,-53.3333333
19338,bihai,10.348386,-67.684414
19341,bihai,10.348386,-67.684414
19342,bihai,11.291644,-74.153539
19343,bihai,10.098669,-66.429758
19347,bihai,3.377389,-59.796086
20525,bihai,,
20526,bihai,,
20566,bihai,,
20870,bihai,,
20888,bihai,,
20889,bihai,,
20890,bihai,,
21418,bihai,,
21419,bihai,,
21420,bihai,,
21421,bihai,,
21422,bihai,,
21438,bihai,,
21439,bihai,,
21442,bihai,,
21443,bihai,,
21848,bihai,,
22011,bihai,,
22018,bihai,10.102222,-68.501111
22022,bihai,,
22368,bihai,3.3,-59.65
22428,bihai,15.38,-61.341667
22451,bihai,13.840556,-60.998333
22452,bihai,13.840556,-60.998333
22465,bihai,17.349722,-62.776389
22470,bihai,17.357778,-62.79
22471,bihai,15.324722,-61.325278
22548,bihai,12.065556,-61.680278
22577,bihai,18.492778,-70.2275
22579,bihai,19.0325,-70.490278
