Species,PolSyn_Color,Hue,Ratio_MidTop,Ratio_BotTop,Peduncule,L_corolla,L_corollaTube,Vol_ovary,Area_anther,L_stamen,L_corollaOpening,stamenExsertion,W_corollaTube_widest,W_corollaTube_narrowest,Ratio_Lcorolla_StraightestLine,Peduncle_Log,W_corollaTube_widest,W_corollaTube_narrowest,L_corollaOpening,Ratio_widest_narrowest,PC1,PC2,PC3,PC4,PolSyn_Coarse,Hue,Bicolored,Orientation,Fruit,Elevation,Inflo,,
Centropogon_granulosus_granulosus_LL161   ,3,bright,0.5,0.45,15,38,33,180,20,38,6,0,10,4,0.931621287,2.708050201,10,4,6,0.4,-1.060614484,0.725156633,-5.2988284,-1.2368736,1,bright,yes,horizontal,berry,1121.1,solitary,,
Centropogon_granulosus_LL130              ,3,bright,0.524390244,0.487804878,32,46,40,320,28.8,60,13,16,13,3.5,0.926422761,3.465735903,13,3.5,13,0.269230769,2.100799548,1.322915271,-5.3414735,-2.86002165,1,bright,yes,horizontal,berry,1121.1,solitary,,
Centropogon_granulosus_LL234              ,3,bright,0.475830816,0.498489426,20,48,36,320,33,41,13,19,10,5,0.928939247,2.995732274,10,5,10,0.5,0.783449893,0.123256616,-5.6072708,-1.98979262,1,bright,yes,vertical,berry,1121.1,solitary,,
Centropogon_granulosus_LL5                ,3,bright,0.454545455,0.454545455,45,44,39,500,18,47,10,11,6,6,0.930218452,3.80666249,6,6,10,1,1.142047777,0.658110408,-5.7335471,-1.73168171,1,bright,yes,vertical,berry,1121.1,solitary,,
Centropogon_guttierezii_LL19              ,1,bright,0.8,0.373333333,61,60,42.5,1024,19.8,65,8.5,22,7.5,5,1,4.110873864,7.5,5,8.5,0.666666667,4.688803528,3.30967618,-0.3857217,-0.54444388,1,bright,no,horizontal,berry,2644.99,solitary,,
Centropogon_incanus_LL49                  ,2,dull,0.95,0.95,153,50,27,1936,78,59,19,28.25,15,11,1,5.030437921,15,11,?,0.733333333,6.975100129,-5.621112967,2.784734,-0.26920895,2,dull,no,horizontal,berry,2414.2,solitary,,
Centropogon_incanus_pink_LL87             ,1,bright,0.9,0.9,77,42,22,1635.9325,55,42,15,20.71,16,9,1,4.343805422,16,9,19,0.5625,2.466349953,-4.520147192,1.7721225,-0.31897867,2,dull,no,horizontal,berry,2414.2,corymb,,
Centropogon_isabellinus_LL192             ,2,dull,0.475675676,0.513513514,150,65,30,4725,96,50,15,33,20,14,1,5.010635294,20,14,15,0.7,11.74721396,-7.028183727,-2.0236787,4.43456501,2,dull,no,vertical,berry,3533.25,corymb,,
Centropogon_leucocarpus_LL127             ,1,bright,0.75,0.4,30,37,25,100,10,31,3,12,4,2,1,3.401197382,4,2,3,0.5,-2.212358293,1.455743076,-0.522722,1.39535334,1,bright,no,vertical,berry,1916.9,solitary,,
Centropogon_llanganatensis_LL67           ,1,bright,0.702702703,0.337837838,49.5,19.5,14.5,81.648,5.95,25,7,9.4,6.9,2.4,1,3.90197267,6.9,2.4,7,0.347826087,-4.388952717,0.191947989,-0.6710073,3.46337495,1,bright,yes,horizontal,berry,2220.7,solitary,,
