phylogeny,scientificname,decimallatitude,decimallongitude,Subclade
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.53861,-81.81139,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.53972,-81.15722,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.53972,-81.15722,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.53972,-81.13444,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.54003,-81.15565,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.55083,-81.17277,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.6,-81.1,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.6,-81.1,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.6,-81.1,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.61667,-80.11667,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.62083,-80.11555,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.62083,-80.11555,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.62167,-80.11,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.62167,-80.11,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.62167,-80.10833,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.62222,-80.11528,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.625,-80.11333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.625,-80.10833,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.62639,-80.12222,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.63333,-80.58333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.63333,-80.10833,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.63333,-80.10833,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.63333,-80.1,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.63333,-80.1,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.63667,-80.12944,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.6375,-81.02278,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.6375,-80.10694,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.65,-82.18333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.655,-80.09861,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.66667,-80.11667,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.68333,-82.2,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.68333,-80.6,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.7,-82.21666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.70147,-82.23261,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.73333,-82.28333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.73333,-82.28333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.73333,-82.25,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.73333,-82.25,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.73333,-82.21666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.7425,-82.25222,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.74652,-82.23648,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.74972,-82.24444,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.74972,-82.24444,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75,-82.3,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75,-82.26667,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75,-82.25,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75,-82.25,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75,-82.25,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75,-82.25,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75,-82.23333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75,-82.23333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75,-82.23333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75,-82.21667,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75,-82.21667,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75,-78.5,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75,-78.5,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75583,-83.04694,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.75593,-83.04708,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.76472,-82.21111,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.76472,-82.21111,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.76666,-82.2,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.76667,-82.2,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.77194,-82.1975,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78,-83,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78,-82.96,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78,-82.95,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78167,-82.21333,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78306,-82.20611,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78306,-82.20611,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78333,-82.95,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78333,-82.21667,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78333,-82.21666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.784525523,-82.94969524,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78498,-82.98851,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.785,-82.22167,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78597,-83.02469,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78611,-83.97777,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78611,-82.97778,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.78833,-82.23333,Burmeistera
