taxa_name,pectoral_fin,pelvic_fin,pectoral_inferred,pelvic_inferred,pectoral_propagated,pelvic_propagated,paired_fin
Rhinosolea_microlepidota,?,1,?,1,0,1,3
Trachurus_novaezelandiae,1,?,1,?,1,0,3
Ramnogaster_melanostoma,1,?,1,?,1,0,3
Galaxias_auratus,1,1,1,2,1,1,3
Notropis_atherinoides,1,1,2,2,0,0,3
Omobranchus_robertsi,1,?,1,?,1,0,3
Epiplatys_chaperi,1,?,2,?,1,0,3
Trichomycterus_therma,1,?,1,?,1,0,3
Ostichthys_japonicus,?,1,?,2,0,1,3
Dolichancistrus_atratoensis,1,1,2,2,0,0,3
Halosaurus_attenuatus,?,1,?,1,0,1,3
Farlowella_taphorni,1,?,2,?,1,0,3
Ompok_weberi,1,?,1,?,1,0,3
Monocentris_reedi,?,1,?,2,0,1,3
Aphyosemion_coeleste,1,?,2,?,1,0,3
Corydoras_britskii,1,?,2,?,0,0,3
Trichomycterus_catamarcensis,1,0,1,0,0,0,2
Takifugu_poecilonotus,1,1,1,2,1,1,3
Acinocheirodon_melanogramma,?,1,?,2,0,0,3
Ituglanis_proops,1,?,1,?,1,0,3
Sternarchorhynchus_freemani,1,0,1,0,1,1,2
Ancistrus_erinaceus,1,?,2,?,1,0,3
Crossoloricaria_rhami,1,?,2,?,1,0,3
Brachirus_panoides,?,1,?,1,0,1,3
Echeneis_neucratoides,1,1,2,2,0,0,3
Acrochordonichthys_chamaeleon,1,?,2,?,1,0,3
Congresox_talabon,1,0,1,0,1,1,2
Olivaichthys_mesembrinus,1,1,2,2,0,0,3
Kaupichthys_atronasus,1,0,1,0,1,1,2
Borophryne_apogon,1,0,1,0,1,1,2
Eustomias_bimargaritoides,?,1,?,1,0,1,3
Ammodytes_hexapterus,1,?,1,?,1,0,3
Brachyplatystoma_filamentosum,1,1,2,2,0,0,3
Champsodon_nudivittis,1,?,2,?,1,0,3
Pseudobagrus_gracilis,1,?,2,?,1,0,3
Hepsetus_odoe,1,1,2,1,0,0,3
Gymnothorax_hepaticus,0,0,0,0,1,1,0
Lampadena_notialis,?,1,?,2,0,1,3
Chirocentrodon_bleekerianus,1,1,1,1,1,0,3
Sternopygus_pejeraton,1,0,1,0,1,1,2
Akysis_pulvinatus,1,?,2,?,1,0,3
Alosa_aestivalis,1,?,1,?,1,0,3
Thalassoma_ascensionis,1,?,1,?,1,0,3
Nanocheirodon_insignis,?,1,?,2,0,1,3
Pseudeutropius_moolenburghae,1,1,2,2,0,0,3
Cetopsis_coecutiens,1,1,2,2,0,0,3
Hemibagrus_sabanus,1,1,2,2,0,0,3
Zaireichthys_compactus,1,?,2,?,1,0,3
Eustomias_inconstans,?,1,?,1,0,1,3
Gymnarchus_niloticus,1,0,1,0,0,0,2
Astronesthes_gudrunae,?,1,?,1,0,1,3
Arius_venosus,1,?,2,?,1,0,3
Crossorhombus_azureus,1,1,1,1,1,1,3
Poecilia_caucana,1,?,2,?,1,0,3
Pampus_minor,1,0,1,0,1,1,2
Batasio_affinis,1,?,2,?,1,0,3
Halicampus_boothae,?,0,?,0,0,1,2
Seleniolycus_pectoralis,1,?,1,?,1,0,3
Dibranchus_tremendus,1,?,2,?,1,0,3
Herklotsichthys_koningsbergeri,1,?,1,?,1,0,3
Eutrigla_gurnardus,1,?,1,?,1,0,3
Odontostomias_micropogon,?,1,?,1,0,1,3
Psettina_profunda,1,1,1,1,1,1,3
Symphurus_diomedeanus,0,0,0,0,1,1,0
Cirrhilabrus_beauperryi,1,1,2,2,1,1,3
Gibberichthys_latifrons,?,1,?,2,0,1,3
Spatuloricaria_puganensis,1,?,2,?,1,0,3
Paraliparis_bullacephalus,1,0,1,0,1,1,2
Gambusia_amistadensis,1,?,2,?,1,0,3
Halicampus_dunckeri,?,0,?,0,0,1,2
Saurida_argentea,?,1,?,2,0,1,3
Neoarius_pectoralis,1,1,2,2,0,0,3
Sturisoma_frenatum,1,?,2,?,1,0,3
Tatia_boemia,1,?,2,?,0,0,3
Blenniella_cyanostigma,1,?,1,?,1,0,3
Syngnathus_macrobrachium,?,0,?,0,0,1,2
Trichomycterus_nigricans,1,?,1,?,1,0,3
Chionodraco_rastrospinosus,1,1,2,2,0,0,3
Uropterygius_fasciolatus,0,0,0,0,1,1,0
Pareiorhaphis_mutuca,1,?,2,?,1,0,3
Paraliparis_kreffti,1,0,1,0,1,1,2
Hydrocynus_forskahlii,1,1,2,2,0,0,3
Pseudochromis_omanensis,1,1,1,1,1,1,3
Rhamdella_longiuscula,1,1,2,2,0,0,3
Gonialosa_whiteheadi,1,?,1,?,1,0,3
Chaenophryne_ramifera,1,0,1,0,1,1,2
Bellator_ribeiroi,1,?,1,?,1,0,3
Lepidotrigla_calodactyla,1,?,1,?,1,0,3
Pellonula_vorax,1,?,1,?,1,0,3
Pangasius_djambal,1,?,2,?,1,0,3
Tenualosa_toli,1,?,1,?,1,0,3
